This file contains the result of GNN0 on test set.
 MAE: 352.4808 s RMSE: 512.3610 s.
The result table is:
                                                                                                                                       smiles    real_rt    pred_rt
66                                                                                                 C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N   8.849583   6.073705
67                                                                            CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O   9.420000  11.054758
68                                                                                                  CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O  31.560000  16.842255
69                                                                                                         C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2   2.260000   2.652625
70                                                                                                         CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3  33.220000  11.703576
71                                                                                                                CC(=O)NC1C(C(C(OC1O)CO)O)O  11.080000   6.147485
72                                                                                                    CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O   4.895783  14.835392
73                                                                                                                C(C(=CC(=O)O)C(=O)O)C(=O)O   3.520000   6.720543
74                                                                 C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O  16.900000  12.946995
75                                                                                                                       CN(C)C1=CC=C(C=C1)N   0.830000   3.925961
76                                                                                                                 C1=NC2=C(N1)C(=O)NC(=N2)N  10.850000   3.270228
77                                                                                                          C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N   4.510000   6.908704
78                                                                                        COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)O)O)O)O   4.725834   9.976237
79                                                                                                                  CC1C2=CC(=C(C=C2CCN1)O)O   4.155550   3.622341
80                                                                                                                           C1=CC(=CC=C1N)O   8.100000   0.902985
81                                                                                                        C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O   7.005000   2.965421
82                                                                                 CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C  10.940000   9.735366
83                                                                                                    CON=C(CC1=CN=CC=C1)C2=C(C=C(C=C2)Cl)Cl  10.200000  20.028042
84                                                                                            CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C  14.990000  12.186654
85                                                                                                                     C1C2CC3CC1CC(C2)(C3)N  15.700000  -3.453367
86                                                                                                CC1C(CCC2C1(C(C3=C(C(=O)OC3(C2)OC)C)OC)C)O   7.047000   8.840384
87                                                                                                                    C1=CC(=CC(=C1)O)C(=O)O   2.150000   5.619903
88                                                                                                                 C1=NC2=C(N1)C(=O)NC(=O)N2   1.700000   3.009314
89                                                                                                                    C(CC(=O)C(=O)O)CC(=O)O   1.050000   5.369379
90                                                                                                               CCCN(CCC)C(=O)SCC1=CC=CC=C1  12.570000  18.422188
91                                                                                                                     CCCCCCCCCCCCCCCC(=O)O   9.900000  17.869717
92                                                                                                   C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O   0.839100   4.673911
93                                                                                                 C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O   8.880000  22.288601
94                                                                                                                C1=C(C=C(C(=C1O)O)O)C(=O)O   1.440000   2.927279
95                                           C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O   8.300000  10.343663
96                                                                                              CCOC(=O)CCN(CC1=CC=CC=C1)SN(C)C(=O)ON=C(C)SC  11.590000  12.224548
97                                                                                                                           CSCCC(CC(=O)O)N   0.660000   0.954554
98                                                                                                                  CC(C)C(C(C(=O)O)O)C(=O)O   2.190000   4.521186
99                                                                                                                   C1=CC(=C(C=C1C(=O)O)O)O  13.900000   3.895136
100                                                     CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O  12.560000   9.464950
101                                                                                                                       CCC(CO)NCCNC(CC)CO   9.600000   3.614687
102                                                                                             CC12CCC3C(C1CCC2(C)O)CCC4C3(CC5=C(C4)NN=C5)C  11.970000  16.905880
103                                                 CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O  31.700000  18.403120
104                                                                                                                      C1=CC(=CN=C1)C(=O)N   3.121000   1.922204
105                                                                                        CC(CCC1C(=CC(=O)CC1(C)C)CO)OC2C(C(C(C(O2)CO)O)O)O   4.373567  10.783722
106                                                                                           C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O   6.990000  13.347889
107                                                                                                             COC(=O)C1=CC=CC=C1S(=O)(=O)N   4.500000  16.613724
108                                                                                          C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F  25.600000  10.449996
109                                                                                            C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O  12.709262   9.486307
110                                                                                                                COC1=C(C=CC(=C1)CC(=O)O)O   2.040000   8.903919
111                                                                                                                         C1C(CNC1C(=O)O)O   0.630000   5.696666
112                                                                                                                  C(CCC(=O)O)CC=CCCC(=O)O   3.887250   5.014695
113                                                                                      COC1=C(C=C(C=C1)CCC(=O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O   4.220000   1.628541
114                                                                                                                   C(C(C(C(C(CO)O)O)O)O)O   1.375000   4.924447
115                                                                                                                      COC1=CC=CC=C1C(=O)O  10.144233   9.287724
116                                                                                                                   CCCCCCCCCCCCCCC(=O)OCC  13.835217  30.823330
117                                                                                              C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F  14.600000  13.017391
118                                                                                                       C1=CNC(=O)C1OC2C(C(C(C(O2)CO)O)O)O   3.924950   4.702499
119                                                                                                                    CCNC1=NC(=NC(=N1)N)Cl   4.380000   9.509891
120                                                                                             CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2  38.740000  18.833328
121                                                                                                              COC1=C(C=C(C=C1)C=CC(=O)O)O   6.700000   7.191349
122                                                                                            C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O  12.070000   9.486307
123                                                                    C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O   6.870000  18.391113
124                                                                                       CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C   5.978333  11.259959
125                                                                              C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F   5.120000   9.443597
126                                                                                                                 C(CCl)OP(=O)(OCCCl)OCCCl  21.600000  11.346663
127                                                                                                           COC1=C2C(=C(C(=C1)CC=C)OC)OCO2   5.203550  12.541517
128                                                                                                                 CN(C)C(=NCCCC(C(=O)O)N)N  11.450000  13.272252
129                                                                                                                CCCCNS(=O)(=O)C1=CC=CC=C1  25.100000  16.319336
130                                                                                                                              CC(C(=O)O)N   0.620000   4.869443
131                                                                                                       C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)O   0.160000   6.718158
132                                                                                                                       CNC(=O)C1=CN=CC=C1   1.310000   2.355818
133                                                                                                                 COC1=C(C=CC(=C1)C(=O)O)O   9.269000   9.111094
134                                                                                                            CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl   8.200000  17.912281
135                                                                                             CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC  10.440000  14.343631
136                                                                                                                                CCOC(=O)N   2.110000   8.501366
137                                                                                                        CC(C)NCC(COC1=CC=C(C=C1)CC(=O)O)O   3.800000   7.542542
138                                                                                CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F   9.100000  10.829990
139                                                                                                            CCC1(C(=O)NCNC1=O)C2=CC=CC=C2   5.400000  13.183155
140                                                                                                                      C(C(CO)OP(=O)(O)O)O   1.531232   2.919844
141                                                                                                                        C(CC(=O)O)C(=O)CN   0.180000   6.108456
142                                                                                     C1=CC=C2C(=C1)C(=CN2)C(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O   3.357269   3.374294
143                                                                          CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C  31.622450  27.668144
144                                                                                                                         C1CCNC(C1)C(=O)O   0.820000   3.967824
145                                                                                            C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O   7.823400   9.486307
146                                                                                 CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C   3.783333   9.006527
147                                                                                          CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C   1.630000  10.740606
148                                                                                                               C[N+](C)(C)CC(CC(=O)[O-])O   0.620000   4.158725
149                                                                                                               C1CSC2=NC(CN21)C3=CC=CC=C3  12.870000   2.957497
150                                                                                                                   C1=CC=C(C(=C1)C(=O)N)O   1.673583   5.574324
151                                                                                                            C1=CC(=CC=C1N)SC2=CC=C(C=C2)N  16.200000   5.935227
152                                                                                 CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC  13.254150  18.290962
153                                                                                                               CC1=C(C=CC(=C1)Cl)OCC(=O)O   9.500000  13.094709
154                                                                                                                     C(CCCC(=O)O)CCC(=O)O   6.500000   3.972973
155                                                                                                              COC1=C(C=CC(=C1)C=CC(=O)O)O   7.280000  10.133712
156                                                                                                              CCOP(=S)(OCC)OP(=S)(OCC)OCC  11.530000  17.148396
157                                                                                                                            CN1C=NC=C1CCN  17.240000   7.706090
158                                                                                                              CNC1(CCCCC1=O)C2=CC=CC=C2Cl   4.880000   5.448066
159                                                                                                                    COC1=CC=C(C=C1)C(=O)O  20.600000   5.913727
160                                                                                                                    C1C(C(C(C(O1)CO)O)O)O   9.200000   5.542349
161                                                                                                            C1=CC=C2C(=C1)C(=CN2)CCC(=O)O  30.275000   7.847852
162                                                                                                                       CSCC(C(C(C=O)O)O)O   1.100000   2.199268
163                                                                                                   CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C  11.250000  10.469204
164                                                                                                                             CC(=O)C(=O)O   5.680000   1.558581
165                                                         CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O   4.653000  12.277975
166                                                                                                                       C(CC(=O)O)CN=C(N)N   0.840000   3.147575
167                                                                                                             CN1C=NC2=C1C(=O)N(C(=O)N2C)C   8.110000   5.748262
168                                                                                         CCC(C(=O)NCC1=CC=CC=C1)OC2=CC(=C(C=C2)F)C(F)(F)F  42.740000   8.483733
169                                                                                                                    CC(=O)NC1=CC=C(C=C1)N   2.300000   2.501420
170                             CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O  11.450000   8.651876
171                                                                                                               CCN(CC)C(=O)C1=CC=CC(=C1)C   8.600000  16.774185
172                                                                                                               CC(C)CC(C(=O)O)NC(=O)C(C)N   6.537000   3.787985
173                                             CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C  15.350000  14.806572
174                                                                                                            CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C  24.700000  15.955491
175                                                                                         CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F  11.700000  39.589661
176                                                                        CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C   9.980000   3.905119
177                                                                                                   C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O   3.466267   9.744556
178                                                                                                                  C1=CC(=C(C=C1O)O)C(=O)O   2.180000   9.852124
179                                                                                                                       CNC(CC(=O)O)C(=O)O   7.395000   6.060094
180                                                                                                       CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C  11.710000  19.761028
181                                                                  CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC  11.500000  14.309252
182                                                                                   CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C  13.188000  22.713123
183                                                                                            C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O   2.320000   9.486307
184                                                                                                                C1=CC(=CC=C1CC(C(=O)O)N)O   4.280000   3.732204
185                                                                                                  CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O  26.500000  17.361702
186                                                                                                                    C(CC(C(=O)O)N)CC(=O)O   0.670000   7.443004
187                                                                                               CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C   8.970000  10.787615
188                                                                                                            CCCCCCC=CCCCCCCCC(=O)OCC(CO)O   7.000000  13.259714
189                                                                                                               C1=CC=C(C=C1)C(=O)NCC(=O)O   3.070000   4.324791
190                                                                                                         C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O   4.700000   5.075789
191                                                                                                        C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32  26.800000  14.849384
192                                                                               C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O  27.400000  14.759425
193                                                                                                           CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2   2.693383   3.807197
194                                                                                                    COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]   9.600000   9.067367
195                                                                                            C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O   1.729429   5.757418
196                                                                                             C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl   8.570000   4.142578
197                                                                                                                         CC(=O)NCCCC(=O)O   3.000000   2.502148
198                                                                                                                       CC(CC(=O)O)CC(=O)O   4.340000   4.988585
199                                                                                                             CCOC(=O)C1=CC(=C(C(=C1)O)O)O  23.020000  26.044596
200                                                                                                            C1C(C(OC1N2C=CC(=NC2=O)N)CO)O   0.730000   4.261639
201                                                                                                      C1=CC=C2C(=C1)C3=C(C=C(C=C3)O)OC2=O  16.040000  15.255291
202                                                                                             CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C   7.480000  12.436550
203                                                                                      CC(C)CCCC(C)C1CCC2C1(CCC3C2CC4C5(C3(CCC(C5)O)C)O4)C  12.800000  29.090031
204                                                                                                   C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O  14.200000   6.423908
205                                                                                    CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(CC4C3(CCC(C4)O)C)O)C   9.150000   8.659785
206                                                                                                                         CSCCC(=O)C(=CO)O   3.906100   2.934534
207                                                                                                               CC(=O)NC1C(C(C(OC1O)CO)O)O   9.960000   6.147486
208                                                                                                                COC1=C(C=CC(=C1)C(=O)OC)O  22.970000  13.243867
209                                                                                                                              CC(C)C(=O)O   2.110000  14.257378
210                                                                                                   CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)O   8.849583   8.292082
211                                                                                                   CC(C)C(C(=O)O)NC(=O)CC1=CNC2=CC=CC=C21  12.143233   6.803649
212                                                                                                               C[N+]1=CC=CC(=C1)C(=O)[O-]   2.870000   2.268615
213                                                                                                                 COC1=C(C=CC(=C1)C(=O)O)O   3.613000   9.111092
214                                                                                                        CC(CCCC(=C)C)CCOC(=O)CC1=CC=CC=C1   9.393750  14.048680
215                                                                                                                COC1=CC(=CC(=C1O)OC)C=CCO   2.130000  12.839651
216                                                                                                CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O  13.030000   7.512025
217                                                                                                                   C1=CC=C(C(=C1)C(=O)O)O  10.520000  14.009089
218                                            CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O  13.600000   8.700594
219                                                                                                                 COC1=C(C=CC(=C1)C(=O)O)O   4.010000   9.111092
220                                                                                                           C1=CC=C(C=C1)C=CC2=CC=C(C=C2)O  41.800000  19.162731
221                                                                                              C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O  20.560000   8.693478
222                                                                                                           C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2  11.000000  20.808344
223                                                                                     COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC   6.600000   8.619652
224                                                                                                                        CC(CC1=CC=CC=C1)N   3.590000   2.791971
225                                                                                                       C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O  10.480000   4.286921
226                                                                                                                  C1=CC(=C(C=C1C(CO)O)O)O   0.920000   3.181970
227                                                                                                                                C(=N)(N)N   1.300000   1.597713
228                                                                                                             C[N+](C)(C)CCCCC(C(=O)[O-])N   0.590000  14.619985
229                                                                                                                  C1=CC(=CC=C1C=CC(=O)O)O   2.390000  10.678969
230                                                                                                              CC(C)C(C(=O)O)NC(=O)C1CCCN1   4.155550   2.933224
231                                                                                                               C1(C(C(OC(C1O)O)C(=O)O)O)O  14.480000   3.954227
232                                                                                           CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C   9.340000   7.096522
233                                                                                                              CC(C)(C)NCC(C1=CC=CC=C1Cl)O   5.600000  10.230869
234                                                                                                     CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C   6.690000   7.500367
235                                                                                                           C1=CC(=C(C(=C1)O)OS(=O)(=O)O)O   1.490000   4.067783
236                                                                                                                       C1=C(NC=N1)CC(=O)O   0.670000   5.378325
237                                                                                                                        C1=CC(=CC=C1CCN)O   1.240000   8.281395
238                                                                                                         C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N   2.529817   6.908705
239                                                                                                      C1=CC=C(C=C1)C(C(C(=O)[O-])[NH3+])O   1.140000   3.189571
240                                                                                                        C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O  12.100000   7.426698
241                                                                                                     CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O  24.300000  22.466450
242                                                                        CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O   4.720000   5.158568
243                                                                                    COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC  36.500000  12.660475
244                                                                                                    CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)N   3.800000   5.297367
245                                                                                                                 CC(C)NC1=NC(=NC(=N1)N)Cl  19.200000   7.953524
246                                                                                            CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C  10.480970  16.129025
247                                                                                                        C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O   6.040000  10.812916
248                                                                             C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F  12.660000  21.314854
249                                                                                                               CN(CC(=O)O)C(=NP(=O)(O)O)N  12.700000   3.907038
250                                                                                                                 C[N+]1(CCCCC1C(=O)[O-])C   6.930000   2.668053
251                                                                C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O  13.670000  13.692167
252                                                                                                        CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C  39.000000  11.994458
253                                                                                                           C(CC(C(=O)O)NCCC(=O)O)CN=C(N)N   4.276667   6.522485
254                                                  COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)O)C5C(C(C(C(O5)CO)O)O)O   4.860000   6.713099
255                                                                                        COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O   7.048000  19.954939
256                                                                                                                 C(CCNCCC(=O)O)CNCCC(=O)O   4.155550   7.896339
257                                                                                                 C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N   4.080000   4.741761
